dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_best_acc,classifier_augmented_best_f1,execution_time
MedicalImages,10,381,760,0.5644736886024475,0.1411095224840087,0.7210526315789474,0.6996002359579679,0.7144736842105263,0.6874567933754985,142.5270299911499
Wine,2,57,54,0.7962962985038757,0.7904761904761904,0.7592592592592593,0.744448489261012,0.7777777777777778,0.775,47.67561149597168
ACSF1,10,100,100,0.7299999594688416,0.7251917672970304,0.87,0.8684028252449305,0.89,0.8892298929141035,205.18514847755432
Adiac,37,390,391,0.6930946111679077,0.6818397408051828,0.7391304347826086,0.7350274132661516,0.6930946291560103,0.6816364085621975,272.56535720825195
AllGestureWiimoteX,10,300,700,0.10000000149011612,0.01818181818181818,0.1,0.018181818181818184,0.1,0.018181818181818184,78.15469646453857
AllGestureWiimoteY,10,300,700,0.10000000149011612,0.01818181818181818,0.1,0.018181818181818184,0.1,0.018181818181818184,78.32972812652588
AllGestureWiimoteZ,10,300,700,0.10000000149011612,0.01818181818181818,0.1,0.018181818181818184,0.1,0.018181818181818184,78.30322337150574
ArrowHead,3,36,175,0.800000011920929,0.7989278247396902,0.8114285714285714,0.8111542857142857,0.8171428571428572,0.8141519239274656,44.73041343688965
Beef,5,30,30,0.9000000357627869,0.8978621378621379,0.6666666666666666,0.6411764705882352,0.8333333333333334,0.8343656343656343,34.550642251968384
BeetleFly,2,20,20,0.949999988079071,0.949874686716792,0.95,0.949874686716792,0.9,0.898989898989899,18.311104774475098
BirdChicken,2,20,20,0.8500000238418579,0.8465473145780051,0.8,0.7916666666666667,0.7,0.6875,23.00865077972412
BME,3,30,150,0.9466667175292969,0.9467083761135361,0.68,0.6637786897704818,0.7066666666666667,0.6955203735050395,23.807136058807373
Car,4,60,60,0.8833333849906921,0.8866406193992402,0.5666666666666667,0.5458168330445782,0.6166666666666667,0.6290711401056228,94.7286946773529
CBF,3,30,900,0.902222216129303,0.9020796639050261,0.97,0.9698990244018507,0.9411111111111111,0.9408768205165531,25.00975513458252
Chinatown,2,20,343,0.9854227900505066,0.981860489713893,0.9650145772594753,0.9655395903304904,0.9650145772594753,0.9655395903304904,17.828476905822754
ChlorineConcentration,3,467,3840,0.9010416865348816,0.8866480074456197,0.76953125,0.7610285984328613,0.78125,0.7710499761943413,552.6114275455475
CinCECGTorso,4,40,1380,0.7739130854606628,0.7710585268585062,0.841304347826087,0.8403661273571149,0.8079710144927537,0.8050151888295494,3954.2574372291565
Coffee,2,28,28,1.0,1.0,0.8214285714285714,0.8178994918125354,0.8571428571428571,0.855654761904762,20.988728046417236
Computers,2,250,250,0.6160000562667847,0.5925297113752122,0.764,0.7598150168536582,0.752,0.7516025641025642,219.0518057346344
CricketX,12,390,390,0.48461538553237915,0.48052022370141995,0.658974358974359,0.6509551937015051,0.6076923076923076,0.6067101881000825,177.65522122383118
CricketY,12,390,390,0.4333333373069763,0.432322061041522,0.6512820512820513,0.6504453976910737,0.6282051282051282,0.6250040185901652,211.64294147491455
CricketZ,12,390,390,0.4692307710647583,0.48020833980876404,0.6538461538461539,0.6484262996509098,0.5974358974358974,0.5915951294315993,184.98361945152283
Crop,24,7200,16800,0.6801785826683044,0.6760754668185642,0.7542857142857143,0.7533096532792772,0.7486904761904762,0.7471444818816882,721.662974357605
DiatomSizeReduction,4,16,306,0.9640523195266724,0.9393845848300636,0.8986928104575164,0.8628668450433807,0.8888888888888888,0.8586415094874255,46.10301637649536
DistalPhalanxOutlineAgeGroup,3,400,139,0.7553957104682922,0.6431520757720129,0.7841726618705036,0.782564857205145,0.7769784172661871,0.766662272881791,58.148542165756226
DistalPhalanxOutlineCorrect,2,600,276,0.7789855003356934,0.7705235323783173,0.7934782608695652,0.7877327198046494,0.7717391304347826,0.7709480122324159,57.895164489746094
DistalPhalanxTW,6,400,139,0.6402877569198608,0.46021337132284207,0.7194244604316546,0.6845763384926773,0.7122302158273381,0.668407099877907,65.23407292366028
DodgerLoopDay,7,78,80,0.15000000596046448,0.037267080745341616,0.15,0.03913043478260869,0.15,0.03913043478260869,38.584636211395264
DodgerLoopGame,2,20,138,0.52173912525177,0.34285714285714286,0.5217391304347826,0.3577639751552795,0.5217391304347826,0.3577639751552795,12.76053524017334
DodgerLoopWeekend,2,20,138,0.739130437374115,0.425,0.7391304347826086,0.6282608695652174,0.7391304347826086,0.6282608695652174,12.693727731704712
Earthquakes,2,322,139,0.7482014298439026,0.4279835390946502,0.762589928057554,0.6729720854918623,0.7697841726618705,0.6979626382927272,118.79014182090759
ECG200,2,100,100,0.9099999666213989,0.9017359973796266,0.89,0.8896517087018233,0.88,0.8792087912087913,52.576438903808594
ECG5000,5,500,4500,0.9402222037315369,0.5789361120548138,0.9404444444444444,0.9271746864449457,0.9391111111111111,0.9254697674548402,165.88713717460632
ECGFiveDays,2,23,861,0.9628338813781738,0.9627973297038046,0.7630662020905923,0.7621501812344772,0.7967479674796748,0.7963425757699353,41.483134031295776
ElectricDevices,7,8926,7711,0.568927526473999,0.4044311565215201,0.7047075606276747,0.6866735868033036,0.7118402282453637,0.6917308105781811,920.7503275871277
EOGHorizontalSignal,12,362,362,0.47790056467056274,0.48808118087818314,0.5303867403314917,0.5159867854094896,0.5662983425414365,0.5490813808398268,815.4228622913361
EOGVerticalSignal,12,362,362,0.4419889748096466,0.4048827534131271,0.38950276243093923,0.33020246665579295,0.43646408839779005,0.40924293035608517,635.4284937381744
EthanolLevel,4,504,500,0.7740000486373901,0.7756481273602285,0.49,0.471800966350778,0.446,0.4014992631647276,2164.1243278980255
FaceAll,14,560,1690,0.6881656646728516,0.7123838054703845,0.7970414201183432,0.7876792773869847,0.7739644970414201,0.7599869792875134,260.3120582103729
FaceFour,4,24,88,0.9090909361839294,0.9159566875845946,0.8295454545454546,0.8327642086424287,0.8295454545454546,0.8303630863671848,37.707197189331055
FacesUCR,14,200,2050,0.6424390077590942,0.5981374846613035,0.868780487804878,0.8675244470713511,0.8165853658536585,0.8095278377094052,1096.0217926502228
FiftyWords,50,450,455,0.5076923370361328,0.29152479076784105,0.676923076923077,0.6471455528975797,0.6175824175824176,0.5795617001310157,4319.052493572235
Fish,7,175,175,0.8914285898208618,0.8925473476075645,0.7542857142857143,0.749066854327938,0.6971428571428572,0.6976898839991442,798.4975175857544
FordA,2,3601,1320,0.8242424130439758,0.8241390716307104,0.9022727272727272,0.9022893957483757,0.9068181818181819,0.9067182774495111,17323.85794901848
