dataset,num_classes,baseline_best_acc,baseline_best_f1,baseline_final_acc,baseline_final_f1,augmented_best_acc,augmented_best_f1,augmented_final_acc,augmented_final_f1
ACSF1,10,0.8100000023841858,0.8068330245904616,0.7599999904632568,0.7600431381484013,0.8700000047683716,0.8701390498644502,0.8100000023841858,0.8083732280791105
ACSF1,10,0.8299999833106995,0.8272199661363747,0.7400000095367432,0.7382607176105627,0.8700000047683716,0.8689595200121515,0.8299999833106995,0.8300904435000543
ACSF1,10,0.8499999642372131,0.8467697803759185,0.7599999904632568,0.7550846921840837,0.8199999928474426,0.8181322105154385,0.7599999904632568,0.7569883206038813
ACSF1,10,0.7899999618530273,0.78533875872298,0.75,0.748738222561752,0.8399999737739563,0.838501646272544,0.8399999737739563,0.8395116802701942
ACSF1,10,0.8100000023841858,0.8073235673854867,0.7699999809265137,0.7646009594693806,0.7699999809265137,0.7695727196779828,0.75,0.7406997028371209
ACSF1,10,0.8399999737739563,0.8432253144172648,0.7899999618530273,0.7870506949191161,0.8399999737739563,0.8383597883597883,0.8199999928474426,0.8171152239573292
ACSF1,10,0.8199999928474426,0.8185264930001772,0.7799999713897705,0.7751989823042454,0.8499999642372131,0.8525914144335196,0.7899999618530273,0.7901056116226396
ACSF1,10,0.8399999737739563,0.8328716612503125,0.7199999690055847,0.7290581400024123,0.8299999833106995,0.8286439807182839,0.7999999523162842,0.7959033948507632
ACSF1,10,0.7799999713897705,0.7816795612218952,0.6599999666213989,0.6588618805745238,0.8899999856948853,0.8890823800569393,0.8399999737739563,0.8379406850459481
ACSF1,10,0.7699999809265137,0.7752070393374741,0.6699999570846558,0.677631288560081,0.8499999642372131,0.8468585000049529,0.7999999523162842,0.7963989519252677
Adiac,37,0.7749360799789429,0.770292128823372,0.7595908045768738,0.7543282939622249,0.7519181370735168,0.7408842120077213,0.7416879534721375,0.7340256665166413
Adiac,37,0.7263426780700684,0.7130311763881668,0.7237851619720459,0.7088155133567996,0.7595908045768738,0.755820313619393,0.739130437374115,0.7286866266640928
Adiac,37,0.7519181370735168,0.7512738363974499,0.7442455291748047,0.7400373171583585,0.7544757127761841,0.7499705403420996,0.7519181370735168,0.7491631379993788
Adiac,37,0.7621483206748962,0.7601177643528179,0.7544757127761841,0.7489340733771043,0.7365728616714478,0.7222414581909065,0.7340153455734253,0.7190689826802967
Adiac,37,0.7595908045768738,0.7554461176724089,0.7570332288742065,0.7530574832888897,0.7723785042762756,0.7658127286916282,0.7698209881782532,0.7632241507835169
Adiac,37,0.7493606209754944,0.750913556440134,0.7468030452728271,0.7495434415059284,0.7544757127761841,0.7541256813596819,0.7519181370735168,0.7512895715683202
Adiac,37,0.7570332288742065,0.7539491044206407,0.7544757127761841,0.7511545808558447,0.7135549783706665,0.7012044864612702,0.7033247947692871,0.6919055673837273
Adiac,37,0.7493606209754944,0.7442157605451607,0.7468030452728271,0.7422072530234719,0.7340153455734253,0.7202957864037339,0.7161125540733337,0.707747605393457
Adiac,37,0.7493606209754944,0.7361048692033955,0.739130437374115,0.723281006523868,0.7723785042762756,0.7725182495166735,0.7672634124755859,0.767302110557916
Adiac,37,0.7263426780700684,0.7262129401114973,0.7212275862693787,0.7211641984099957,0.7493606209754944,0.7445082543179933,0.7442455291748047,0.7416636554122215
BeetleFly,2,0.8500000238418579,0.846547314578005,0.8500000238418579,0.846547314578005,0.8500000238418579,0.849624060150376,0.75,0.7493734335839599
BeetleFly,2,0.8500000238418579,0.849624060150376,0.75,0.7442455242966752,0.9000000357627869,0.9,0.800000011920929,0.8
BeetleFly,2,0.800000011920929,0.7979797979797979,0.75,0.7333333333333333,0.9000000357627869,0.898989898989899,0.8500000238418579,0.849624060150376
BeetleFly,2,0.800000011920929,0.7979797979797979,0.699999988079071,0.696969696969697,0.800000011920929,0.7979797979797979,0.800000011920929,0.7979797979797979
BeetleFly,2,0.75,0.7333333333333333,0.699999988079071,0.6875,0.9000000357627869,0.898989898989899,0.9000000357627869,0.898989898989899
BeetleFly,2,0.8500000238418579,0.849624060150376,0.800000011920929,0.7979797979797979,0.800000011920929,0.7916666666666667,0.75,0.7493734335839599
BeetleFly,2,0.8500000238418579,0.849624060150376,0.8500000238418579,0.849624060150376,0.8500000238418579,0.849624060150376,0.800000011920929,0.7979797979797979
BeetleFly,2,0.800000011920929,0.7979797979797979,0.800000011920929,0.7979797979797979,0.949999988079071,0.949874686716792,0.9000000357627869,0.9
BeetleFly,2,0.75,0.7333333333333333,0.75,0.7442455242966752,0.75,0.7333333333333333,0.699999988079071,0.6875
BeetleFly,2,0.75,0.7493734335839599,0.699999988079071,0.6875,0.75,0.7333333333333333,0.699999988079071,0.6875
ArrowHead,3,0.7085714340209961,0.7150061576354679,0.6857143044471741,0.6915027829313543,0.5999999642372131,0.6028493376595138,0.5371428728103638,0.5276233766233765
ArrowHead,3,0.645714282989502,0.6455362190905557,0.6228571534156799,0.6231124431124431,0.6514285802841187,0.6515359927743489,0.645714282989502,0.6458179848320693
ArrowHead,3,0.5542857050895691,0.5444859922545761,0.5485714077949524,0.5398030060894724,0.6628571152687073,0.6608595365965936,0.645714282989502,0.6405051282051282
ArrowHead,3,0.6742857098579407,0.6750204081632654,0.6571428775787354,0.6592608567902686,0.5485714077949524,0.5486928853339449,0.5371428728103638,0.5365350477904933
ArrowHead,3,0.6742857098579407,0.6758473285595544,0.6571428775787354,0.6584940039653391,0.6514285802841187,0.6469168816952069,0.6114285588264465,0.603761459445326
ArrowHead,3,0.6514285802841187,0.6571095542694689,0.6285714507102966,0.6327783239816608,0.5942857265472412,0.5781737331464438,0.5885714292526245,0.5711897984717815
ArrowHead,3,0.6742857098579407,0.675229304029304,0.6628571152687073,0.6648493946021188,0.6228571534156799,0.6164647893360764,0.5999999642372131,0.5917424917921256
ArrowHead,3,0.6628571152687073,0.6686187721068176,0.6228571534156799,0.6247713203106359,0.6057142615318298,0.5992307267200884,0.5999999642372131,0.5969821105565005
ArrowHead,3,0.6057142615318298,0.6041646150352034,0.5828571319580078,0.5782431982694067,0.6342856884002686,0.6236928034371643,0.6171428561210632,0.6042492426729569
ArrowHead,3,0.6399999856948853,0.6420995670995671,0.6399999856948853,0.6442748179655396,0.6514285802841187,0.6532587669214027,0.6114285588264465,0.6153718900097945
Beef,5,0.5,0.4595670995670995,0.4333333671092987,0.4131746031746032,0.5666667222976685,0.5262192056309704,0.5666667222976685,0.5294871794871795
Beef,5,0.5333333611488342,0.49679197994987473,0.40000003576278687,0.3816267942583732,0.5666667222976685,0.537937062937063,0.46666669845581055,0.4116239316239316
Beef,5,0.5,0.49196581196581196,0.40000003576278687,0.36709401709401707,0.5666667222976685,0.5394505494505495,0.5333333611488342,0.5222222222222223
Beef,5,0.46666669845581055,0.4492403021814786,0.46666669845581055,0.4551566080977845,0.5333333611488342,0.5136596736596736,0.5,0.4888158899923606
Beef,5,0.5666667222976685,0.5690909090909091,0.40000003576278687,0.36923436041083096,0.5666667222976685,0.5361111111111112,0.5333333611488342,0.5012515262515262
Beef,5,0.46666669845581055,0.4545543345543346,0.3333333432674408,0.3287878787878788,0.5666667222976685,0.5544233544233544,0.5666667222976685,0.5564102564102564
Beef,5,0.46666669845581055,0.4273448773448773,0.4333333671092987,0.4,0.6666666865348816,0.6528749028749029,0.6666666865348816,0.6528749028749029
Beef,5,0.40000003576278687,0.37,0.36666667461395264,0.35745098039215684,0.5666667222976685,0.5452991452991454,0.5666667222976685,0.5452991452991454
Beef,5,0.5666667222976685,0.5595848595848596,0.4333333671092987,0.390125313283208,0.6333333849906921,0.5982905982905983,0.46666669845581055,0.4423160173160173
Beef,5,0.5333333611488342,0.4845098039215686,0.46666669845581055,0.4307602339181287,0.5666667222976685,0.5589543789543789,0.5333333611488342,0.5
BirdChicken,2,0.75,0.7333333333333333,0.75,0.7333333333333333,0.6500000357627869,0.6266666666666666,0.6500000357627869,0.6266666666666666
BirdChicken,2,0.75,0.7442455242966752,0.699999988079071,0.6875,0.75,0.7333333333333333,0.75,0.7333333333333333
BirdChicken,2,0.75,0.7333333333333333,0.699999988079071,0.6703296703296703,0.699999988079071,0.7,0.6000000238418579,0.5959595959595959
BirdChicken,2,0.75,0.7333333333333333,0.75,0.7333333333333333,0.699999988079071,0.6875,0.6500000357627869,0.6419437340153452
BirdChicken,2,0.699999988079071,0.6703296703296703,0.699999988079071,0.6703296703296703,0.800000011920929,0.8,0.75,0.7493734335839599
BirdChicken,2,0.75,0.7333333333333333,0.699999988079071,0.6703296703296703,0.9000000357627869,0.898989898989899,0.800000011920929,0.7979797979797979
BirdChicken,2,0.75,0.7333333333333333,0.75,0.7333333333333333,0.800000011920929,0.7916666666666667,0.75,0.7493734335839599
BirdChicken,2,0.800000011920929,0.7916666666666667,0.699999988079071,0.6703296703296703,0.800000011920929,0.7979797979797979,0.6500000357627869,0.6419437340153452
BirdChicken,2,0.75,0.7442455242966752,0.699999988079071,0.6875,0.6500000357627869,0.6419437340153452,0.6500000357627869,0.6419437340153452
BirdChicken,2,0.800000011920929,0.7916666666666667,0.75,0.7333333333333333,0.8500000238418579,0.846547314578005,0.699999988079071,0.696969696969697
BME,3,0.8333333730697632,0.8323412698412698,0.800000011920929,0.7982413889511725,0.800000011920929,0.7972936154754336,0.7599999904632568,0.7585321699905033
BME,3,0.7800000309944153,0.7779232003951106,0.7800000309944153,0.7779232003951106,0.8199999928474426,0.8142829244226085,0.8199999928474426,0.8142829244226085
BME,3,0.893333375453949,0.8924697591142552,0.8199999928474426,0.8185185185185184,0.7733333706855774,0.7754166131861548,0.7266666889190674,0.7267082707423875
BME,3,0.8666666746139526,0.8641973065808108,0.8333333730697632,0.8310252346292202,0.8066666722297668,0.8046845147155831,0.7666667103767395,0.7629860194093359
BME,3,0.8533333539962769,0.8512417199166724,0.8400000333786011,0.8357244178391329,0.8400000333786011,0.8371770395825379,0.7933333516120911,0.7892603850050658
BME,3,0.8133333325386047,0.809628807708357,0.7933333516120911,0.7877618005091256,0.8733333349227905,0.8714648230933242,0.8066666722297668,0.8026244472971046
BME,3,0.8133333325386047,0.8102133131835615,0.7866666913032532,0.7825743200506008,0.8400000333786011,0.8372672890176511,0.8199999928474426,0.8168350168350168
BME,3,0.8333333730697632,0.8313248748031357,0.7800000309944153,0.7784867080776394,0.8266667127609253,0.8253614038216887,0.8199999928474426,0.8194890077243018
BME,3,0.7866666913032532,0.7851400576119677,0.7733333706855774,0.769779764861732,0.8066666722297668,0.8054766610748474,0.7933333516120911,0.7909158636270708
BME,3,0.8266667127609253,0.8251140848016072,0.7933333516120911,0.791544477028348,0.7866666913032532,0.7824208368556858,0.7800000309944153,0.7750455714275813
CBF,3,0.9644444584846497,0.9643547100889337,0.9633333683013916,0.9632414236281832,0.941111147403717,0.9411283604324311,0.9333333373069763,0.9333571943361852
CBF,3,0.9566667079925537,0.95659848896482,0.9522222280502319,0.9521436958510665,0.9200000166893005,0.9198427451598297,0.9155555963516235,0.9153504630104765
CBF,3,0.9511111378669739,0.9511058930172628,0.945555567741394,0.9455993530025738,0.945555567741394,0.9454476972820867,0.9422222375869751,0.9422228300171992
CBF,3,0.9588888883590698,0.9588178932425921,0.9577777981758118,0.9576989006198697,0.9388889074325562,0.9387919262329468,0.9222222566604614,0.9219587452326581
CBF,3,0.9477778077125549,0.9476402518577345,0.9477778077125549,0.9476485274947486,0.898888885974884,0.8985885503202531,0.893333375453949,0.8928881345879593
CBF,3,0.9655556082725525,0.9655160125782173,0.9566667079925537,0.9566611653755068,0.9422222375869751,0.9422334616227125,0.9399999976158142,0.9399726256769761
CBF,3,0.9700000286102295,0.9699810114568128,0.9622222185134888,0.9622037687347486,0.8955555558204651,0.8948014138212679,0.8833333253860474,0.8821995486041366
CBF,3,0.9633333683013916,0.9632681409811396,0.9555555582046509,0.9554450927508474,0.9233333468437195,0.9220883614651687,0.9188889265060425,0.918303924670234
CBF,3,0.9700000286102295,0.9699889071522984,0.9688889384269714,0.9688836785936853,0.9311111569404602,0.9312126420651975,0.9255555868148804,0.9258805213453003
CBF,3,0.9544444680213928,0.9544092899364293,0.9522222280502319,0.952172746225434,0.8966667056083679,0.8969967342755035,0.8700000047683716,0.8702964772796236
Car,4,0.46666669845581055,0.4772972888555722,0.4166666865348816,0.4115390557409467,0.5,0.4966140053096575,0.5,0.4903381642512077
Car,4,0.5,0.49022137079608347,0.5,0.4939649605396731,0.5,0.437677304964539,0.45000001788139343,0.4366606330140692
Car,4,0.5,0.4961111111111111,0.4166666865348816,0.4249382716049383,0.5666667222976685,0.5520442992011619,0.5,0.5014022988505747
Car,4,0.4833333492279053,0.4811116800364112,0.4833333492279053,0.4811116800364112,0.5166667103767395,0.4928347996089931,0.4166666865348816,0.4279987573780677
Car,4,0.5166667103767395,0.5220864542703623,0.4833333492279053,0.48151599875737805,0.5333333611488342,0.5190307840307841,0.5,0.4923297966401414
Car,4,0.6000000238418579,0.5728183361629882,0.5166667103767395,0.5152777777777778,0.45000001788139343,0.42692361927144534,0.4166666865348816,0.39625695260477867
Car,4,0.5333333611488342,0.5377257799671592,0.5166667103767395,0.5276470588235295,0.5166667103767395,0.47076102632371347,0.45000001788139343,0.43783333333333335
Car,4,0.5166667103767395,0.5323147382287167,0.5166667103767395,0.5271613041613041,0.46666669845581055,0.41699329856011885,0.4166666865348816,0.41604938271604935
Car,4,0.5833333730697632,0.5859171075837744,0.5666667222976685,0.5657207207207208,0.5666667222976685,0.5234068627450981,0.5,0.4976289109622443
Car,4,0.5166667103767395,0.5255803422470089,0.5,0.5093337590464028,0.5666667222976685,0.5609206989247312,0.5,0.4908126489750516
Chinatown,2,0.9854227900505066,0.9854930481065752,0.9854227900505066,0.9854930481065752,0.9795918464660645,0.9796902673492053,0.9795918464660645,0.9796902673492053
Chinatown,2,0.9883382320404053,0.9883760586456267,0.9854227900505066,0.9854930481065752,0.9737609624862671,0.9738874865918353,0.9620991349220276,0.9628168256729636
Chinatown,2,0.9737609624862671,0.9738874865918353,0.9679300785064697,0.9678764148086947,0.9883382320404053,0.9883760586456267,0.9883382320404053,0.9883760586456267
Chinatown,2,0.9795918464660645,0.9796902673492053,0.9795918464660645,0.9796902673492053,0.9620991349220276,0.9622819250770955,0.9620991349220276,0.9622819250770955
Chinatown,2,0.9883382320404053,0.9884124557862474,0.9854227900505066,0.9854930481065752,0.9358600974082947,0.9376018695675429,0.9300292134284973,0.9320773207242079
Chinatown,2,0.9883382320404053,0.9883760586456267,0.9825073480606079,0.9826186836793711,0.9795918464660645,0.9796902673492053,0.9737609624862671,0.9738874865918353
Chinatown,2,0.941690981388092,0.9431451498768717,0.941690981388092,0.9431451498768717,0.9737609624862671,0.9740448503655619,0.9620991349220276,0.961905296648056
Chinatown,2,0.9795918464660645,0.9796902673492053,0.9766764044761658,0.9767521172912532,0.9504373669624329,0.9509736062460614,0.9504373669624329,0.9509736062460614
Chinatown,2,0.9620991349220276,0.9620357629557301,0.9446064233779907,0.945655360598947,0.9825073480606079,0.9826711316014606,0.9795918464660645,0.979812661395437
Chinatown,2,0.9795918464660645,0.9796902673492053,0.9737609624862671,0.973803951014151,0.9825073480606079,0.9826186836793711,0.9766764044761658,0.9768948421352809
ChlorineConcentration,3,0.733593761920929,0.7239731993105786,0.7286458611488342,0.7205495843010933,0.7625000476837158,0.7516597371136855,0.7510417103767395,0.7428603894383269
ChlorineConcentration,3,0.7809896469116211,0.7736993294187907,0.7796875238418579,0.7723890976532284,0.7541667222976685,0.7481722963563334,0.7252604365348816,0.7073366279670383
ChlorineConcentration,3,0.7210937738418579,0.7165187795682623,0.7200521230697632,0.7157441960916577,0.741406261920929,0.7307390151234119,0.7346354722976685,0.7267805215810449
ChlorineConcentration,3,0.7471354603767395,0.7358790466230668,0.745312511920929,0.7354873862601156,0.7510417103767395,0.7408605094713355,0.7406250238418579,0.7364336605673379
ChlorineConcentration,3,0.7658854722976685,0.7571320593857235,0.7653646469116211,0.7565918835101775,0.7315104603767395,0.7224606003755446,0.7263021469116211,0.7204420490037079
ChlorineConcentration,3,0.7606770992279053,0.7514510578794528,0.7596354484558105,0.7502457181874556,0.7502604722976685,0.7436334050144761,0.3395833373069763,0.29560693905490243
ChlorineConcentration,3,0.7505208849906921,0.7449449403402352,0.749218761920929,0.7430793839759203,0.7520833611488342,0.7443224728180245,0.7416667342185974,0.7373089097679395
ChlorineConcentration,3,0.7638021111488342,0.7557024991991582,0.7638021111488342,0.7556324694598116,0.7690104842185974,0.7647838929413545,0.760937511920929,0.7556123762302529
ChlorineConcentration,3,0.7427083849906921,0.7358851932727055,0.7427083849906921,0.7358851932727055,0.7411458492279053,0.7326554489925622,0.7239583730697632,0.7180465051894837
ChlorineConcentration,3,0.7473958730697632,0.7365981775523621,0.7395833730697632,0.7315303492907195,0.7312500476837158,0.725684815729947,0.7291666865348816,0.7223498615006191
CinCECGTorso,4,0.7028985619544983,0.7067510943278258,0.6963768601417542,0.7024405633545272,0.6637681126594543,0.6599096018172201,0.6579710245132446,0.6538004107539153
