dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,execution_time
Adiac,37,390,391,0.7314577698707581,0.7154780667133933,0.7340153452685422,0.7259503537110189,0.710997462272644,0.7075247339176831,0.8056265984654731,0.8027425384645991,0.6982097029685974,0.667058204370392,0.7698209718670077,0.7639095377195945,0.7161125540733337,0.6982436310262722,0.7774936061381074,0.7683302743200311,0.7186700701713562,0.683826841923084,0.7800511508951407,0.7752627430842512,359.65020298957825
ArrowHead,3,36,175,0.8342856764793396,0.8319342454863072,0.8171428571428572,0.817930665503481,0.8114285469055176,0.8096459934846694,0.7828571428571428,0.7861125452465829,0.8171428442001343,0.815080808673486,0.7828571428571428,0.7811602535751142,0.8285714387893677,0.8295282461949128,0.8,0.7941426024955437,0.8114285469055176,0.8096094975664041,0.8,0.8033011602699333,109.10906147956848
BME,3,30,150,0.9666666984558105,0.9664424648850632,0.6866666666666666,0.6728487886382623,0.9533333778381348,0.953581228347213,0.7133333333333334,0.7065716158636512,0.9666666984558105,0.9666535242124702,0.7,0.6987024084671465,0.9666666984558105,0.9665925776251094,0.7666666666666667,0.763652214841201,0.9666666984558105,0.9666646664666466,0.7066666666666667,0.6966490299823633,81.10154151916504
Beef,5,30,30,0.9000000357627869,0.8978621378621379,0.7333333333333333,0.7228571428571428,0.9000000357627869,0.9054545454545455,0.8333333333333334,0.8092907092907092,0.9333333969116211,0.9328671328671329,0.9333333333333333,0.9331002331002332,0.9333333969116211,0.935064935064935,0.8666666666666667,0.865134865134865,0.9333333969116211,0.9331002331002332,0.9666666666666667,0.9664335664335665,110.63305044174194
stack expects a non-empty TensorList
stack expects a non-empty TensorList
CBF,3,30,900,0.9000000357627869,0.8995657655133772,0.9677777777777777,0.9676153907018605,0.9100000262260437,0.9102533269199936,0.9177777777777778,0.9180895235268657,0.8766666650772095,0.8767718758391077,0.9244444444444444,0.9241415751579876,0.9100000262260437,0.9102868733700378,0.8622222222222222,0.8627256728360059,0.9244444370269775,0.9242428204893921,0.8566666666666667,0.8562430679573674,54.77613162994385
Car,4,60,60,0.8666667342185974,0.867009867009867,0.6166666666666667,0.5776219667943805,0.8833333849906921,0.8831400081400081,0.6333333333333333,0.5545965320158869,0.9333333969116211,0.9357407407407407,0.6666666666666666,0.5911889375304009,0.9000000357627869,0.9032407407407408,0.6666666666666666,0.5903896370277456,0.8833333849906921,0.8767014519056262,0.6833333333333333,0.6024113475177304,134.7863163948059
ChlorineConcentration,3,467,3840,0.9111979603767395,0.8958014226469029,0.7776041666666667,0.7677095674058957,0.8937500715255737,0.8824634983418714,0.7911458333333333,0.7826226640661389,0.8872396349906921,0.8719116337397411,0.7796875,0.7747229445475129,0.8700520992279053,0.8562864059326549,0.796875,0.7893702837975546,0.8669271469116211,0.8476675596467868,0.7828125,0.7759640660922607,666.1669182777405
CinCECGTorso,4,40,1380,0.8471014499664307,0.8493300808827373,0.8442028985507246,0.8451426157997379,0.7905797362327576,0.7942294075259899,0.9239130434782609,0.9235412665035027,0.760869562625885,0.7592091056533754,0.8579710144927536,0.8570826409191713,0.7144927978515625,0.713727133424651,0.8355072463768116,0.832409493151122,0.6949275732040405,0.6992019896319985,0.8391304347826087,0.8366563966078518,733.6667041778564
stack expects a non-empty TensorList
stack expects a non-empty TensorList
Crop,24,7200,16800,0.7020833492279053,0.6996789736495299,0.7541071428571429,0.75322889783857,0.6050000190734863,0.5788297174611962,0.7441666666666666,0.7422338806102551,0.6887499690055847,0.6828874088283872,0.7322619047619048,0.7311114060160034,0.6670833230018616,0.6529290230700224,0.7273809523809524,0.7244384229433978,0.6712499856948853,0.6571513826417651,0.7225595238095238,0.719082316916418,820.7407779693604
DistalPhalanxOutlineAgeGroup,3,400,139,0.7769784331321716,0.7416310492420429,0.7985611510791367,0.7993963038524403,0.7194244861602783,0.5993179880647911,0.7410071942446043,0.7443143546434605,0.7122302055358887,0.5012937859653188,0.7553956834532374,0.7572611332421666,0.6978417634963989,0.5807166927819568,0.7266187050359713,0.7162129827319038,0.6978417634963989,0.582760376878024,0.7338129496402878,0.7191858306966221,158.82093834877014
stack expects a non-empty TensorList
DistalPhalanxTW,6,400,139,0.7122302055358887,0.5928047634549776,0.7050359712230215,0.6604171422013875,0.6834532618522644,0.5274210402130314,0.7122302158273381,0.6707851534789823,0.6402877569198608,0.5158559979353302,0.6762589928057554,0.6346819129586347,0.661870539188385,0.3886973180076629,0.6906474820143885,0.6676592387830295,0.6690647602081299,0.527518488006011,0.6834532374100719,0.6694472907431176,162.91290664672852
stack expects a non-empty TensorList
ECG5000,5,500,4500,0.941777765750885,0.6126115616019226,0.9408888888888889,0.930607672559793,0.9415555596351624,0.6072786122915665,0.9413333333333334,0.9299331847999353,0.940666675567627,0.6163320829254019,0.9384444444444444,0.9260180359142887,0.9344444274902344,0.606769483300329,0.9351111111111111,0.9213329173634589,0.9377778172492981,0.6261264433706942,0.9322222222222222,0.9168656360887352,274.5164568424225
stack expects a non-empty TensorList
EOGHorizontalSignal,12,362,362,0.5,0.4802855019669338,0.5193370165745856,0.5009391661183977,0.480663001537323,0.4708914228989402,0.5248618784530387,0.5181913554551352,0.4364641010761261,0.4206312039756774,0.5027624309392266,0.4738424991716668,0.45856356620788574,0.43951237154109446,0.494475138121547,0.4433679038359592,0.46408841013908386,0.4404571839730715,0.4889502762430939,0.4581781659882551,497.7418918609619
EOGVerticalSignal,12,362,362,0.45303869247436523,0.41605087011292174,0.35082872928176795,0.3110950426852718,0.43370166420936584,0.3917928697453879,0.43370165745856354,0.3541019184124146,0.40883979201316833,0.36757177473712693,0.43370165745856354,0.3727574754806843,0.41436466574668884,0.391707913862761,0.39502762430939226,0.326745207608603,0.4060773551464081,0.37298901842888155,0.425414364640884,0.37179297310643644,378.64328503608704
stack expects a non-empty TensorList
ElectricDevices,7,8926,7711,0.5977175235748291,0.48646399138598273,0.7023732330437038,0.6846508416327715,0.5180910229682922,0.44507294897987254,0.7004279600570613,0.6892488110339564,0.5142005085945129,0.4279960511346172,0.7022435481779277,0.7027612610719051,0.5088834166526794,0.41891214710527286,0.703281027104137,0.6963598415354734,0.5547918677330017,0.449609659846927,0.7000389054597328,0.6829864974946503,947.9592747688293
EthanolLevel,4,504,500,0.800000011920929,0.8028565630308111,0.48,0.4304623611682435,0.7800000309944153,0.7801588144721467,0.502,0.4895103418012761,0.7660000324249268,0.7691209446541255,0.51,0.49779352110624214,0.7540000081062317,0.7545674788074243,0.506,0.4990805875756348,0.7160000205039978,0.712758710727186,0.536,0.5128154232920125,1014.4716725349426
